Date;Team_Home;Team_Away;League;Class_Home;Class_Away;Home_Prediction;Draw_Prediction;Away_Prediction;Odd_Home;Odd_Draw;Odd_Away;Result;_Double result;Goals
2023-01-06;Al Taawon;Al Khaleej;Arábia Saudita 1;3;1;51;25;24;1,38;5,00;7,50;Away;Away_Home;More_Two
2023-01-06;Al Nassr;Al Tai;Arábia Saudita 1;1;3;65;20;15;1,29;5,25;10,00;Home;Home_Draw;More_Two
2023-01-06;Benfica;Portimonense;Portugal 1;1;3;78;14;8;1,19;8,60;19,00;Home;Home_Draw;More_Two
2023-01-06;St. Liege;St. Truiden;Belgica 1;2;2;37;27;36;2,46;3,25;3,45;Draw;Home_Draw;One
2023-01-06;Manchester United;Everton;Inglaterra T;1;3;72;17;11;1,51;4,82;7,60;Home;Home_Draw;More_Two
2023-01-06;Chateauroux;Paris Saint Germain;França T;3;1;12;17;71;51,00;14,00;1,07;Away;Draw_Away;One
2023-01-06;Richards Bay;Mamelodi Sundowns;África do Sul 1;3;1;16;27;58;6,25;3,60;1,61;Away;Draw_Away;Two
2023-01-06;Gijon;Levante;Espanha 2;13;3;32;29;39;2,72;3,08;3,05;Draw;Draw_Away;Two
2023-01-07;Torrense;Oliveirense;Portugal 2;15;14;43;27;30;2,24;3,30;3,30;Draw;Home_Draw;Two
2023-01-07;Mafra;B SAD;Portugal 2;12;16;38;27;35;1,80;3,60;4,70;Away;Away_Home;More_Two
2023-01-07;Arouca;Estoril;Portugal 1;10;14;37;28;35;2,28;3,34;3,30;Home;Home_Draw;Two
2023-01-07;Villarreal;Real Madrid;Espanha 1;7;2;26;24;50;3,50;4,00;2,14;Home;Away_Home;More_Two
2023-01-07;Guimaraes;Rio Ave;Portugal 1;6;8;50;27;23;2,06;3,40;4,10;Draw;Home_Draw;Two
2023-01-07;Casa Pia;Porto;Portugal 1;5;3;11;20;68;9,80;5,00;1,39;Draw;Draw_Away;More_Two
2023-01-07;Le Puy F,43 Auvergne;Nice;França T;1;3;18;23;59;15,00;6,00;1,25;Home;Away_Home;One
2023-01-07;Mónaco;Rodez;França T;2;2;67;20;13;1,17;8,80;17,00;Draw;Home_Draw;More_Two
2023-01-07;Tottenham;Portsmouth;Inglaterra T;1;3;61;20;19;1,17;9,20;23,00;Home;Home_Draw;More_Two
2023-01-07;Cape Town City;Orlando Pirates;África do Sul 1;1;3;35;31;34;2,38;2,88;3,30;Home;Home_Draw;More_Two
2023-01-07;Celtic;Kilmarnock;Escócia 1;1;3;89;8;3;1,10;13,00;36,00;Home;Home_Draw;More_Two
2023-01-07;Linas-Montlhery;Lens;França T;3;1;2;6;92;41,00;15,00;1,06;Away;Draw_Away;More_Two
2023-01-07;Gillingham;Leicester;Inglaterra T;3;1;22;22;56;15,00;6,80;1,23;Away;Draw_Away;More_Two
2023-01-08;Covilhã;Vilafranquense;Portugal 2;18;7;34;27;39;3,26;3,20;2,25;Draw;Draw_Away;More_Two
2023-01-08;P. Ferreira;Desp. Chaves;Portugal 1;18;10;41;27;32;2,90;3,30;2,60;Draw;Draw_Away;One
2023-01-08;Maritimo;Sporting;Portugal 1;17;4;14;20;66;9,00;5,00;1,40;Home;Away_Home;One
2023-01-08;Boavista;Gil Vicente;Portugal 1;13;16;41;26;33;2,64;3,34;2,80;Home;Home_Draw;More_Two
2023-01-08;Benfica B;Feirense;Portugal 2;6;8;37;28;35;2,38;3,30;2,90;Away;Away_Home;One
2023-01-08;Atletico Madrid;Barcelona ;Espanha 1;5;1;21;23;56;3,25;3,62;2,40;Away;Draw_Away;One
2023-01-08;Manchester City;Chelsea;Inglaterra T;4;7;55;21;24;1,44;5,20;7,90;Home;Home_Draw;More_Two
2023-01-08;Milan;Roma;Itália 1;3;6;50;26;25;1,92;3,72;4,60;Draw;Home_Draw;Two
2023-01-08;Aston Villa;Stevenage;Inglaterra T;3;1;48;24;28;1,21;7,80;18,00;Away;Away_Home;More_Two
2023-01-08;Fenerbace;Galatasaray;Turquia 1;3;1;54;23;22;2,18;3,70;3,50;Away;Away_Home;More_Two
2023-01-08;Genk;Club Brugge;Belgica 1;1;3;57;22;21;2,21;3,90;3,10;Home;Home_Draw;More_Two
2023-01-08;TS Galaxy;Stellenbosch;África do Sul 1;2;2;35;33;32;2,30;2,80;3,60;Draw;Home_Draw;One
2023-01-08;Lille;Troyes;França T;1;3;54;23;23;1,45;4,80;7,20;Home;Home_Draw;More_Two
2023-01-08;Eibar;Ibiza;Espanha 2;1;3;63;22;15;1,55;4,00;8,40;Home;Home_Draw;More_Two
2023-01-08;Loon-Plage;Reims;França T;3;1;2;6;92;57,00;21,00;1,03;Away;Draw_Away;One
2023-01-08;La Chataignerale;Lorient;França T;3;1;1;4;95;41,00;15,00;1,06;Away;Draw_Away;One
2023-01-08;Lannion;Toulouse;França T;3;1;2;6;92;19,00;7,30;1,17;Away;Draw_Away;One
2023-01-08;Ultrecht;Feyenoord;Países Baixos 1;2;2;28;22;50;4,20;4,20;1,87;Draw;Draw_Away;Two
2023-01-09;Alanyaspor;Tranzonspor;Turquia 1;1;3;39;23;37;3,15;3,85;2,25;Home;Away_Home;Two
2023-01-09;Tondela;Penafiel;Portugal 2;3;1;49;27;24;2,40;3,25;3,00;Away;Away_Home;One
2023-01-09;Panaitolikos;OFI Creta;Grécia 1;3;1;46;28;25;2,45;3,10;3,25;Away;Away_Home;Two
2023-01-09;Istanbul Basaksehir;Adana Demirspor;Turquia 1;1;3;52;24;24;2,12;3,65;3,60;Home;Home_Draw;One
2023-01-09;Hapoel Beer Sheva;Hapoel Tel Aviv;Israel 1;1;3;64;21;16;1,56;4,24;5,90;Home;Home_Draw;One
2023-01-09;Athletic Bilbau;Osasuna;Espanha 1;2;2;53;26;21;1,74;3,90;6,00;Draw;Home_Draw;Two
2023-01-09;Oxford United;Arsenal;Inglaterra T;3;1;22;22;56;18,00;9,20;1,18;Away;Draw_Away;One
2023-01-09;Bologna;Atalanta;Itália 1;3;1;29;25;45;3,75;3,65;2,16;Away;Draw_Away;One
2023-01-10;Barito Putera;PSM;Indonesia 1;16;1;27;27;45;3,80;3,50;2,10;Draw;Draw_Away;More_Two
2023-01-10;Al Raed;Al Hilal;Arábia Saudita 1;11;4;13;19;67;6,50;4,75;1,44;Draw;Draw_Away;More_Two
2023-01-10;Valenciennes;Annecy;França 2;9;14;39;29;33;2,25;3,15;3,65;Draw;Home_Draw;Two
2023-01-10;Inter Milao;Parma;Itália T;7;5;54;24;23;1,23;7,00;13,00;Draw;Home_Draw;One
2023-01-10;Caen;Bordeaux;França 2;7;2;42;28;30;2,45;3,20;3,20;Draw;Home_Draw;More_Two
2023-01-10;Pachuca;Puebla;Mexico 1;5;19;63;21;17;1,65;4,20;5,50;Home;Home_Draw;More_Two
2023-01-10;Sparta Rotterdam;PSV;Países Baixos T;5;3;20;20;60;5,80;4,25;1,54;Away;Draw_Away;More_Two
2023-01-10;Leixões;Famalicão;Portugal T;5;4;16;22;62;3,32;3,30;2,30;Draw;Draw_Away;Two
2023-01-10;FC Twente;Telstar;Países Baixos T;2;6;78;14;8;1,29;5,80;10,00;Home;Home_Draw;More_Two
2023-01-10;Newcastle;Leicester;Inglaterra TL;2;4;65;25;10;1,65;4,14;5,80;Home;Home_Draw;One
2023-01-10;Mamelodi Sundowns;Chippa United;África do Sul 1;1;9;80;14;6;1,37;3,98;11,00;Home;Home_Draw;One
2023-01-10;Varzim;Benfica;Portugal T;1;5;8;17;75;11,00;5,50;1,31;Away;Draw_Away;Two
2023-01-11;Troyes;Olympique Marseille;França 1;13;3;21;23;56;5,10;4,18;1,77;Away;Draw_Away;More_Two
2023-01-11;Den Bosch;Ajax;Países Baixos 1;12;9;6;10;84;30,00;11,50;1,09;Away;Draw_Away;One
2023-01-11;Nice;Montpellier;França 1;11;14;50;24;26;1,90;3,82;4,70;Home;Home_Draw;One
2023-01-11;Excelsior;AZ Alkmaar;Países Baixos 1;10;6;29;22;49;7,50;4,90;1,45;Away;Draw_Away;One
2023-01-11;Nottingam Forest;Wolves;Inglaterra TL;9;5;34;25;41;2,80;3,32;2,88;Draw;Home_Draw;Zero
2023-01-11;Vilaverdense;B SAD;Portugal T;7;4;44;25;32;2,17;3,34;3,60;Away;Away_Home;More_Two
2023-01-11;Persib;Persija;Indonesia 1;6;5;40;28;33;2,25;3,24;3,60;Home;Home_Draw;One
2023-01-11;Real Madrid;Valência;Espanha ST;6;4;64;20;16;1,57;4,64;6,45;Draw;Home_Draw;One
2023-01-11;Milan;Torino;Itália T;5;5;59;23;18;1,66;4,26;6,10;Draw;Home_Draw;More_Two
2023-01-11;Heerenveen;Volendam;Países Baixos 1;4;11;59;20;21;1,60;4,55;5,75;Home;Home_Draw;One
2023-01-11;Académico Viseu;Beira-Mar;Portugal T;4;6;49;24;27;1,44;4,60;7,00;Home;Home_Draw;One
2023-01-11;Braga;Guimarães;Portugal T;3;7;56;24;20;1,55;4,20;5,80;Home;Home_Draw;One
